Date,Adj Close_TEBE.JK,Close_TEBE.JK,High_TEBE.JK,Low_TEBE.JK,Open_TEBE.JK,Volume_TEBE.JK
2022-01-12,413.2785949707031,620.0,635.0,615.0,620.0,244200
2022-01-13,406.6128234863281,610.0,620.0,580.0,620.0,506800
2022-01-14,396.6141357421875,595.0,615.0,580.0,615.0,143400
2022-01-17,389.94830322265625,585.0,605.0,585.0,595.0,364200
2022-01-18,383.2825622558594,575.0,590.0,560.0,585.0,317000
2022-01-19,389.94830322265625,585.0,585.0,570.0,570.0,77100
2022-01-20,393.2812194824219,590.0,590.0,575.0,575.0,31000
2022-01-21,403.2799072265625,605.0,605.0,580.0,580.0,34600
2022-01-24,423.2772521972656,635.0,655.0,600.0,605.0,565800
2022-01-25,419.9443664550781,630.0,655.0,595.0,635.0,360400
2022-01-26,439.9417419433594,660.0,665.0,630.0,630.0,745300
2022-01-27,466.6048278808594,700.0,700.0,660.0,670.0,1289700
2022-01-28,523.2639770507812,785.0,870.0,700.0,700.0,3767500
2022-01-31,493.2679443359375,740.0,800.0,735.0,785.0,1339700
2022-02-02,459.9390869140625,690.0,745.0,690.0,740.0,919200
2022-02-03,473.2706298828125,710.0,735.0,655.0,690.0,1252500
2022-02-04,456.606201171875,685.0,720.0,675.0,710.0,251500
2022-02-07,446.6075439453125,670.0,705.0,665.0,690.0,512200
2022-02-08,443.27459716796875,665.0,685.0,640.0,670.0,674500
2022-02-09,449.94036865234375,675.0,685.0,640.0,640.0,135700
2022-02-10,453.2732849121094,680.0,685.0,655.0,655.0,100400
2022-02-11,453.2732849121094,680.0,685.0,665.0,665.0,82300
2022-02-14,449.94036865234375,675.0,690.0,655.0,680.0,144700
2022-02-15,446.6075439453125,670.0,675.0,655.0,675.0,150700
2022-02-16,446.6075439453125,670.0,670.0,660.0,660.0,51600
2022-02-17,443.27459716796875,665.0,685.0,655.0,665.0,69900
2022-02-18,439.9417419433594,660.0,675.0,635.0,660.0,358400
2022-02-21,439.9417419433594,660.0,675.0,635.0,635.0,122200
2022-02-22,453.2732849121094,680.0,685.0,645.0,645.0,176400
2022-02-23,456.606201171875,685.0,700.0,655.0,655.0,220800
2022-02-24,449.94036865234375,675.0,695.0,650.0,685.0,420400
2022-02-25,449.94036865234375,675.0,690.0,655.0,655.0,303400
2022-03-01,453.2732849121094,680.0,705.0,665.0,665.0,286300
2022-03-02,479.9364318847656,720.0,730.0,685.0,685.0,943000
2022-03-04,479.9364318847656,720.0,770.0,700.0,720.0,792600
2022-03-07,493.2679443359375,740.0,750.0,710.0,710.0,492100
2022-03-08,473.2706298828125,710.0,755.0,700.0,725.0,424900
2022-03-09,466.6048278808594,700.0,740.0,690.0,700.0,130600
2022-03-10,456.606201171875,685.0,700.0,670.0,690.0,256300
2022-03-11,463.2720031738281,695.0,700.0,670.0,670.0,95900
2022-03-14,456.606201171875,685.0,700.0,675.0,680.0,136800
2022-03-15,449.94036865234375,675.0,690.0,670.0,675.0,251300
2022-03-16,453.2732849121094,680.0,685.0,670.0,675.0,94900
2022-03-17,453.2732849121094,680.0,685.0,675.0,680.0,42800
2022-03-18,459.9390869140625,690.0,705.0,675.0,685.0,170200
2022-03-21,459.9390869140625,690.0,700.0,675.0,690.0,226200
2022-03-22,463.2720031738281,695.0,700.0,675.0,695.0,191300
2022-03-23,453.2732849121094,680.0,700.0,680.0,695.0,168500
2022-03-24,449.94036865234375,675.0,690.0,670.0,690.0,477700
2022-03-25,453.2732849121094,680.0,685.0,670.0,675.0,113100
2022-03-28,449.94036865234375,675.0,685.0,660.0,680.0,183400
2022-03-29,446.6075439453125,670.0,690.0,670.0,675.0,187000
2022-03-30,479.9364318847656,720.0,720.0,670.0,680.0,832600
2022-03-31,476.6036376953125,715.0,725.0,695.0,715.0,356800
2022-04-01,483.2693786621094,725.0,750.0,705.0,725.0,915200
2022-04-04,479.9364318847656,720.0,775.0,700.0,700.0,928500
2022-04-05,479.9364318847656,720.0,740.0,710.0,710.0,701600
2022-04-06,473.2706298828125,710.0,730.0,700.0,715.0,606900
2022-04-07,466.6048278808594,700.0,715.0,670.0,690.0,279100
2022-04-08,466.6048278808594,700.0,715.0,695.0,700.0,315900
2022-04-11,469.9378356933594,705.0,730.0,700.0,700.0,273400
2022-04-12,456.606201171875,685.0,705.0,680.0,705.0,427700
2022-04-13,463.2720031738281,695.0,710.0,680.0,690.0,397900
2022-04-14,469.9378356933594,705.0,705.0,690.0,695.0,216200
2022-04-18,469.9378356933594,705.0,710.0,695.0,705.0,675500
2022-04-19,463.2720031738281,695.0,710.0,690.0,710.0,389000
2022-04-20,466.6048278808594,700.0,710.0,695.0,700.0,353300
2022-04-21,469.9378356933594,705.0,725.0,695.0,705.0,464400
2022-04-22,463.2720031738281,695.0,710.0,695.0,710.0,193500
2022-04-25,469.9378356933594,705.0,710.0,695.0,700.0,408100
2022-04-26,466.6048278808594,700.0,705.0,690.0,705.0,462000
2022-04-27,466.6048278808594,700.0,705.0,695.0,700.0,216000
2022-04-28,469.9378356933594,705.0,720.0,695.0,695.0,558300
2022-05-09,463.2720031738281,695.0,720.0,695.0,705.0,848900
2022-05-10,469.9378356933594,705.0,705.0,695.0,700.0,479000
2022-05-11,503.26666259765625,755.0,770.0,700.0,710.0,1162400
2022-05-12,479.9364318847656,720.0,750.0,720.0,750.0,1973100
2022-05-13,479.9364318847656,720.0,755.0,710.0,715.0,715900
2022-05-17,546.59423828125,820.0,865.0,725.0,730.0,2962700
2022-05-18,533.2626953125,800.0,910.0,795.0,830.0,2596800
